upload_number,mode,file,size_mb,avg_latency,avg_throughput,avg_net_tp_from_table,total_duration,stripes_processed,total_stripe_build_time,avg_stripe_build_time,stripe_build_time_per_mb,stripes_encoded,total_encoding_time,avg_encoding_time_per_stripe,encoding_time_per_mb,total_network_tests,avg_network_throughput,total_network_throughput
12,BLOCK_PARALLEL,block_parallel_1fc1f324_file_1MB.txt,1.0,1.0448,183.26,0.0,17.8357,1,0.0163,0.0163,0.0163,1,16.3173,16.3173,16.3173,0,0.0,0.0
11,PARALLEL,parallel_26e9edd1_file_1MB.txt,1.0,0.2426,233.36,33.85,18.8513,1,0.0177,0.0177,0.0177,1,15.6618,15.6618,15.6618,6,33.85,203.09
10,SINGLE,single_5379141b_file_1MB.txt,1.0,0.25,331.98,34.22,19.1931,1,0.0184,0.0184,0.0184,1,15.9011,15.9011,15.9011,6,34.22,205.31
18,BLOCK_PARALLEL,block_parallel_4e753aab_file_2MB.txt,2.0,1.1636,206.18,0.0,17.1405,1,0.0154,0.0154,0.0077,1,15.3436,15.3436,7.6718,0,0.0,0.0
17,PARALLEL,parallel_f8273107_file_2MB.txt,2.0,0.1798,377.33,42.06,17.7252,1,0.0136,0.0136,0.0068,1,15.3257,15.3257,7.6629,6,42.06,252.37
16,SINGLE,single_73d500fe_file_2MB.txt,2.0,0.361,40.39,21.64,20.0128,1,0.0144,0.0144,0.0072,1,15.4424,15.4424,7.7212,6,21.64,129.84
6,BLOCK_PARALLEL,block_parallel_d32977a0_file_4MB.txt,4.0,1.7472,8.97,0.0,17.7895,1,0.0198,0.0198,0.005,1,15.7178,15.7178,3.9295,0,0.0,0.0
5,PARALLEL,parallel_f373c3e9_file_4MB.txt,4.0,0.1818,324.41,41.25,18.3863,1,0.0166,0.0166,0.0042,1,15.9283,15.9283,3.9821,6,41.25,247.48
4,SINGLE,single_429e61fd_file_4MB.txt,4.0,0.3352,150.83,26.29,20.2496,1,0.0176,0.0176,0.0044,1,15.9006,15.9006,3.9751,6,26.29,157.74
3,BLOCK_PARALLEL,block_parallel_69b124f7_file_16MB.txt,16.0,0.5763,343.95,0.0,16.915,1,0.0159,0.0159,0.001,1,15.7911,15.7911,0.9869,0,0.0,0.0
2,PARALLEL,parallel_f1874c61_file_16MB.txt,16.0,0.2517,268.94,34.43,18.937,1,0.0159,0.0159,0.001,1,15.6716,15.6716,0.9795,6,34.43,206.6
1,SINGLE,single_02aa5bfb_file_16MB.txt,16.0,0.3347,139.8,26.19,20.2109,1,0.0183,0.0183,0.0011,1,15.9766,15.9766,0.9985,6,26.19,157.16
15,BLOCK_PARALLEL,block_parallel_478923b1_file_32MB.txt,32.0,1.7934,6.73,0.0,17.7133,1,0.0206,0.0206,0.0006,1,15.5494,15.5494,0.4859,0,0.0,0.0
14,PARALLEL,parallel_95009ab9_file_32MB.txt,32.0,0.1862,431.27,39.85,18.0603,1,0.0209,0.0209,0.0007,1,15.5274,15.5274,0.4852,6,39.85,239.08
13,SINGLE,single_eb9cb7e8_file_32MB.txt,32.0,0.3071,141.13,25.19,20.1182,1,0.0208,0.0208,0.0006,1,15.8644,15.8644,0.4958,6,25.19,151.11
9,BLOCK_PARALLEL,block_parallel_40de60ee_file_64MB.txt,64.0,0.7536,249.99,0.0,33.5297,2,0.0353,0.0176,0.0006,2,31.3938,15.6969,0.4905,0,0.0,0.0
8,PARALLEL,parallel_df36a5ec_file_64MB.txt,64.0,0.2937,195.44,29.51,37.6707,2,0.0624,0.0312,0.001,2,64.8592,32.4296,1.0134,12,29.51,354.11
7,SINGLE,single_5509ed5a_file_64MB.txt,64.0,0.2955,194.13,28.89,39.2585,2,0.0281,0.014,0.0004,2,31.3736,15.6868,0.4902,12,28.89,346.67
