mode,size_mb,total_stripe_build_time,total_encoding_time,avg_stripe_build_time,avg_encoding_time_per_stripe,total_time,avg_time
BLOCK_PARALLEL,1.0,0.0163,16.3173,0.0163,16.3173,16.3336,16.3336
PARALLEL,1.0,0.0177,15.6618,0.0177,15.6618,15.679499999999999,15.679499999999999
SINGLE,1.0,0.0184,15.9011,0.0184,15.9011,15.9195,15.9195
BLOCK_PARALLEL,2.0,0.0154,15.3436,0.0154,15.3436,15.359,15.359
PARALLEL,2.0,0.0136,15.3257,0.0136,15.3257,15.3393,15.3393
SINGLE,2.0,0.0144,15.4424,0.0144,15.4424,15.4568,15.4568
BLOCK_PARALLEL,4.0,0.0198,15.7178,0.0198,15.7178,15.7376,15.7376
PARALLEL,4.0,0.0166,15.9283,0.0166,15.9283,15.9449,15.9449
SINGLE,4.0,0.0176,15.9006,0.0176,15.9006,15.9182,15.9182
BLOCK_PARALLEL,16.0,0.0159,15.7911,0.0159,15.7911,15.807,15.807
PARALLEL,16.0,0.0159,15.6716,0.0159,15.6716,15.6875,15.6875
SINGLE,16.0,0.0183,15.9766,0.0183,15.9766,15.9949,15.9949
BLOCK_PARALLEL,32.0,0.0206,15.5494,0.0206,15.5494,15.57,15.57
PARALLEL,32.0,0.0209,15.5274,0.0209,15.5274,15.5483,15.5483
SINGLE,32.0,0.0208,15.8644,0.0208,15.8644,15.8852,15.8852
BLOCK_PARALLEL,64.0,0.0353,31.3938,0.0176,15.6969,31.4291,15.7145
PARALLEL,64.0,0.0312,30.2378,0.0312,15.1189,30.3002,15.1501
SINGLE,64.0,0.014,31.3736,0.014,15.6868,31.401699999999998,15.7008
